Muestra,Fecha,Nombre,Nombre2,d2H,d18O,Tipo,dexcess,Lat,Lon,d2hColombia,d18oColombia,Linea
W-5469,2022-11-29,Pozo 227-IV-D-103,Pozo 227-IV-D-103 (250m),-63.1,-9.42,Pozo,12.26,4.6398148,-74.0809122,-132.26,-18.00,Colombia
W-5770,2022-11-29,PZ-227-IV-D-103 (Piezómetro),PZ-227-IV-D-103 (140m),-60.7,-9.1,Piezometro,12.1,4.6397247,-74.0809343,-124.24,-17.00,Colombia
W-6071,2022-11-29,Genética,Genetica (30m),-61.7,-9.24,Piezometro,12.22,4.6427655,-74.0822335,-116.22,-16.00,Colombia
W-6372,2022-11-29,Hidráulica 3,Hidraulica3 (7m),-77.7,-10.87,Piezometro,9.26,4.6388263,-74.0814461,-108.2,-15.00,Colombia
W-6673,2022-11-30,TOT Hidráulica (Noviembre),TOT Hidráulica (Lluvia),-112.2,-15.73,Lluvia,13.64,4.638585,-74.0817854,-100.18,-14.00,Colombia
W-6974,2022-12-30,TOT Hidráulica (Diciembre),TOT Hidráulica (Lluvia),-31.1,-5.65,Lluvia,14.1,4.638585,-74.0817854,-92.16,-13.00,Colombia
W-5588,2023-01-31,Pozo 227-IV-D-103,Pozo 227-IV-D-103 (250m),-63.2,-9.22,Pozo,10.56,4.6398148,-74.0809122,-84.14,-12.00,Colombia
W-5589,2023-01-31,PZ-227-IV-D-103 (Piezómetro),PZ-227-IV-D-103 (140m),-60.6,-8.93,Piezometro,10.84,4.6397247,-74.0809343,-76.12,-11.00,Colombia
W-5590,2023-01-31,Genética,Genetica (30m),-60.8,-8.99,Piezometro,11.12,4.6427655,-74.0822335,-68.1,-10.00,Colombia
W-5591,2023-01-31,Hidráulica 3,Hidraulica3 (7m),-70.2,-9.84,Piezometro,8.52,4.6388263,-74.0814461,-60.08,-9.00,Colombia
W-5592,2023-01-31,TOT Hidráulica (Enero),TOT Hidráulica (Lluvia),-50.7,-7.87,Lluvia,12.26,4.638585,-74.0817854,-52.06,-8.00,Colombia
W-5910,2023-02-28,M4-PA-02.Piezometro 103,PZ-227-IV-D-103 (140m),-59.7,-8.83,Piezometro,10.94,4.6397247,-74.0809343,-44.04,-7.00,Colombia
W59-11,2023-02-28,M3-PA-01-Pozo3-purgado,Pozo 227-IV-D-103 (250m),-62.5,-9.17,Pozo,10.86,4.6398148,-74.0809122,-36.02,-6.00,Colombia
W59-12,2023-02-28,M1-PA-01-Pozo3,Pozo 227-IV-D-103 (250m),-62.6,-9.19,Pozo,10.92,4.6398148,-74.0809122,-28,-5.00,Colombia
W-5913,2023-02-28,M2-PA25-Genetica,Genetica (30m),-61.1,-9.08,Piezometro,11.54,4.6427655,-74.0822335,-19.98,-4.00,Colombia
W59-14,2023-02-28,M5-PA05-Hidraúlica 3,Hidraulica3 (7m),-67.1,-9.61,Piezometro,9.78,4.6388263,-74.0814461,-11.96,-3.00,Colombia
W59-15,2023-02-28,TOT Hidráulica (Febrero),TOT Hidráulica (Lluvia),-31,-5.91,Lluvia,16.28,4.638585,-74.0817854,-3.94,-2.00,Colombia
